,topic,input,output,label,labeler,description,model score,author
1253212d13544fa9bf54e80ec0db47c3,/Positive,I am sorry,NEGATIVE,fail,anonymous,,0.0,anonymous
1f81a12b5dc844f2b71f039d615a8292,/Positive,I won't last long,NEGATIVE,pass,anonymous,,0.0,anonymous
216cfaa54e764b15acd286a802ee1832,/Positive,I want to go there and bake,POSITIVE,pass,anonymous,,0.0,anonymous
24c907510bad44dc8b31814bd279cd81,/Positive,I am happy,POSITIVE,pass,anonymous,,,
2c53396bc50142458ec977c479d87e22,/Positive,Come seaick ô ø æØ Úê namous,NEGATIVE,off_topic,anonymous,,0.0,anonymous
2cb72a10e97b4bf293520fa52022add3,/Positive,I like to eat cakes,POSITIVE,pass,anonymous,,0.0,anonymous
33f10c51ac0549cc8c9e745aabbf3122,/Positive,I'm not awareof my neighbour,NEGATIVE,pass,anonymous,,0.0,anonymous
5bea1c08581e465bb2037b54238e3bb1,/Positive,I hate working,NEGATIVE,pass,anonymous,,,
902752433f7542d4b35da5e9ba547233,/Positive,I am enjoying,POSITIVE,pass,anonymous,,0.0,anonymous
97450329dddb471b9145dbdebe467525,,,,topic_marker,imputed,,,
c4b7f70a55d64668a84c5eb2aa882fa4,/Positive,Can I get it customer care pictures?,NEGATIVE,off_topic,anonymous,,0.0,anonymous
d23d8db3d8a44303b21510fbf05f1cb4,/Positive,I would like to have a cake,POSITIVE,pass,anonymous,,,
e8334a7179374a1a863822c84baa717b,/Positive,I don't plan to be put down,NEGATIVE,off_topic,anonymous,,0.0,anonymous
f5027ceefd4a4fb6a0c0bafea46b37c6,/Positive,,,topic_marker,anonymous,,,
f5e3cb1ca084404c9a809abf531ece02,/Positive,dude bawds don't eat too much jelly,NEGATIVE,pass,anonymous,,0.0,anonymous
1cec14eee3534dc596cac090a78abe3d,/Positive,New test,,,imputed,,,
